op,n,radix,Logical qubits,Physical qubits,Logical depth,"Runtime, seconds"
QuantumArithmetic.WBC2023.AddWithOp,91,3,953,699554,2240,0.015232
QuantumArithmetic.WBC2023.AddWithOp,91,5,887,661406,2004,0.0136272
QuantumArithmetic.WBC2023.AddWithOp,91,10,844,486280,1817,0.010902
QuantumArithmetic.WBC2023.AddWithOp,91,25,808,470080,1459,0.008754
QuantumArithmetic.WBC2023.AddWithOp,91,50,800,466480,1053,0.006318
QuantumArithmetic.WBC2023.AddWithOp,91,100,594,345972,270,0.001404
QuantumArithmetic.WBC2023.AddWithOp,91,250,594,345972,270,0.001404
QuantumArithmetic.WBC2023.AddWithOp,108,3,1120,796080,2646,0.0179928
QuantumArithmetic.WBC2023.AddWithOp,108,5,1040,749840,2344,0.0159392
QuantumArithmetic.WBC2023.AddWithOp,108,10,976,712848,2051,0.0139468
QuantumArithmetic.WBC2023.AddWithOp,108,25,972,710536,1933,0.0131444
QuantumArithmetic.WBC2023.AddWithOp,108,50,1013,734234,1907,0.0129676
QuantumArithmetic.WBC2023.AddWithOp,108,100,1112,729856,1904,0.0129472
QuantumArithmetic.WBC2023.AddWithOp,108,250,700,440840,321,0.001926
QuantumArithmetic.WBC2023.AddWithOp,128,3,1330,917460,3203,0.0217804
QuantumArithmetic.WBC2023.AddWithOp,128,5,1230,859660,2816,0.0191488
QuantumArithmetic.WBC2023.AddWithOp,128,10,1153,815154,2477,0.0168436
QuantumArithmetic.WBC2023.AddWithOp,128,25,1153,815154,2416,0.0164288
QuantumArithmetic.WBC2023.AddWithOp,128,50,1137,805906,1967,0.0133756
QuantumArithmetic.WBC2023.AddWithOp,128,100,1236,863128,1964,0.0133552
QuantumArithmetic.WBC2023.AddWithOp,128,250,825,506770,381,0.002286
QuantumArithmetic.WBC2023.AddWithOp,152,3,1577,1060226,3843,0.0261324
QuantumArithmetic.WBC2023.AddWithOp,152,5,1458,991444,3383,0.0230044
QuantumArithmetic.WBC2023.AddWithOp,152,10,1376,944048,3038,0.0206584
QuantumArithmetic.WBC2023.AddWithOp,152,25,1359,934222,2911,0.0197948
QuantumArithmetic.WBC2023.AddWithOp,152,50,1392,953296,2842,0.0193256
QuantumArithmetic.WBC2023.AddWithOp,152,100,1384,948672,2036,0.0138448
QuantumArithmetic.WBC2023.AddWithOp,152,250,974,564140,453,0.002718
QuantumArithmetic.WBC2023.AddWithOp,181,3,1876,1233048,4620,0.031416
QuantumArithmetic.WBC2023.AddWithOp,181,5,1737,1152706,4108,0.0279344
QuantumArithmetic.WBC2023.AddWithOp,181,10,1638,1095484,3714,0.0252552
QuantumArithmetic.WBC2023.AddWithOp,181,25,1591,1068318,3381,0.0229908
QuantumArithmetic.WBC2023.AddWithOp,181,50,1571,1056758,2929,0.0199172
QuantumArithmetic.WBC2023.AddWithOp,181,100,1563,1052134,2123,0.0144364
QuantumArithmetic.WBC2023.AddWithOp,181,250,1153,644690,540,0.00324
QuantumArithmetic.WBC2023.AddWithOp,215,3,2218,1430724,5483,0.0372844
QuantumArithmetic.WBC2023.AddWithOp,215,5,2042,1328996,4808,0.0326944
QuantumArithmetic.WBC2023.AddWithOp,215,10,1925,1261370,4345,0.029546
QuantumArithmetic.WBC2023.AddWithOp,215,25,1860,1223800,3926,0.0266968
QuantumArithmetic.WBC2023.AddWithOp,215,50,1888,1239984,3854,0.0262072
QuantumArithmetic.WBC2023.AddWithOp,215,100,1980,1293160,3828,0.0260304
QuantumArithmetic.WBC2023.AddWithOp,215,250,1363,739190,642,0.003852
QuantumArithmetic.WBC2023.AddWithOp,256,3,2640,2041280,6600,0.05016
QuantumArithmetic.WBC2023.AddWithOp,256,5,2438,1557884,5838,0.0396984
QuantumArithmetic.WBC2023.AddWithOp,256,10,2283,1468294,5200,0.03536
QuantumArithmetic.WBC2023.AddWithOp,256,25,2226,1435348,4895,0.033286
QuantumArithmetic.WBC2023.AddWithOp,256,50,2248,1448064,4800,0.03264
QuantumArithmetic.WBC2023.AddWithOp,256,100,2232,1438816,3951,0.0268668
QuantumArithmetic.WBC2023.AddWithOp,256,250,2636,1672328,4748,0.0322864
QuantumArithmetic.WBC2023.AddWithOp,304,3,3129,2394338,7880,0.059888
