op,n,Logical qubits,Physical qubits,Logical depth,"Runtime, seconds"
QuantumArithmetic.DKRS2004.Add,19484,156617,196023250,584106,5.84106
QuantumArithmetic.DKRS2004.Add,23170,186178,233028500,694704,6.94704
QuantumArithmetic.DKRS2004.Add,27554,221324,322978392,826188,8.9228304
QuantumArithmetic.DKRS2004.Add,32768,263107,383898006,982482,10.6108056
QuantumArithmetic.DKRS2004.Add,38968,312812,456546376,1168590,12.620772
QuantumArithmetic.DKRS2004.Add,46341,371901,542698138,1389816,15.0100128
QuantumArithmetic.DKRS2004.Add,55109,442151,645122638,1652820,17.850456
QuantumArithmetic.DKRS2004.Add,65536,525672,766929576,1965486,21.2272488
QuantumArithmetic.DKRS2004.Add,77936,625015,911771670,2337594,25.2460152
QuantumArithmetic.DKRS2004.Add,92682,743130,1250411140,2780010,32.248116
QuantumArithmetic.DKRS2004.Add,110218,883569,1486629538,3306054,38.3502264
QuantumArithmetic.DKRS2004.Add,131072,1050555,1767499990,3931530,45.605748
QuantumArithmetic.DKRS2004.Add,155872,1249153,2101541826,4675638,54.2374008
QuantumArithmetic.DKRS2004.Add,185364,1485295,2498732670,5560434,64.5010344
QuantumArithmetic.DKRS2004.Add,220436,1766087,2971024814,6612558,76.7056728
QuantumArithmetic.DKRS2004.Add,262144,2099976,3532626112,7863654,91.2183864
QuantumArithmetic.DKRS2004.Add,311744,2497050,4799763260,9351762,115.9618488
QuantumArithmetic.DKRS2004.Add,370728,2969212,5707258624,11121318,137.9043432
QuantumArithmetic.DKRS2004.Add,440872,3530672,6786384744,13225602,163.9974648
QuantumArithmetic.DKRS2004.Add,524288,4198323,8069609966,15727938,195.0264312
QuantumArithmetic.DKRS2004.Add,623487,4992300,9595667080,18704034,231.9300216
QuantumArithmetic.DKRS2004.Add,741455,5936452,11410327224,22243110,275.814564
QuantumArithmetic.DKRS2004.Add,881744,7059199,15375401902,26451726,349.1627832
QuantumArithmetic.DKRS2004.Add,1048576,8394320,18283295440,31456542,415.2263544
QuantumArithmetic.JHHA2016.Add_Mod2N,3,23,159246,18,6.48e-05
QuantumArithmetic.JHHA2016.Add_Mod2N,4,28,211896,24,8.64e-05
QuantumArithmetic.JHHA2016.Add_Mod2N,5,33,134946,30,0.000108
QuantumArithmetic.JHHA2016.Add_Mod2N,6,38,161676,36,0.0001296
QuantumArithmetic.JHHA2016.Add_Mod2N,7,42,133284,42,0.0001848
QuantumArithmetic.JHHA2016.Add_Mod2N,8,47,115054,48,0.0002112
QuantumArithmetic.JHHA2016.Add_Mod2N,10,56,117232,60,0.000264
QuantumArithmetic.JHHA2016.Add_Mod2N,11,61,111962,66,0.0002904
QuantumArithmetic.JHHA2016.Add_Mod2N,13,70,114140,78,0.0003432
QuantumArithmetic.JHHA2016.Add_Mod2N,16,84,117528,96,0.0004224
QuantumArithmetic.JHHA2016.Add_Mod2N,19,97,127154,114,0.0005016
QuantumArithmetic.JHHA2016.Add_Mod2N,23,115,131510,138,0.0006072
QuantumArithmetic.JHHA2016.Add_Mod2N,27,132,122376,162,0.0008424
QuantumArithmetic.JHHA2016.Add_Mod2N,32,154,206932,192,0.0009984
QuantumArithmetic.JHHA2016.Add_Mod2N,38,180,215720,228,0.0011856
QuantumArithmetic.JHHA2016.Add_Mod2N,45,210,216180,270,0.001404
QuantumArithmetic.JHHA2016.Add_Mod2N,54,249,229362,324,0.0016848
QuantumArithmetic.JHHA2016.Add_Mod2N,64,292,253576,384,0.0019968
QuantumArithmetic.JHHA2016.Add_Mod2N,76,342,260796,456,0.0023712
QuantumArithmetic.JHHA2016.Add_Mod2N,91,406,308540,546,0.003276
QuantumArithmetic.JHHA2016.Add_Mod2N,108,477,340490,648,0.003888
QuantumArithmetic.JHHA2016.Add_Mod2N,128,561,378290,768,0.004608
QuantumArithmetic.JHHA2016.Add_Mod2N,152,661,423290,912,0.005472
QuantumArithmetic.JHHA2016.Add_Mod2N,181,781,477290,1086,0.006516
QuantumArithmetic.JHHA2016.Add_Mod2N,215,922,540740,1290,0.00774
QuantumArithmetic.JHHA2016.Add_Mod2N,256,1092,820456,1536,0.0104448
QuantumArithmetic.JHHA2016.Add_Mod2N,304,1289,934322,1824,0.0124032
QuantumArithmetic.JHHA2016.Add_Mod2N,362,1528,1072464,2172,0.0147696
QuantumArithmetic.JHHA2016.Add_Mod2N,431,1811,1236038,2586,0.0175848
QuantumArithmetic.JHHA2016.Add_Mod2N,512,2142,1427356,3072,0.0208896
QuantumArithmetic.JHHA2016.Add_Mod2N,609,2538,1656244,3654,0.0248472
QuantumArithmetic.JHHA2016.Add_Mod2N,724,3007,1927326,4344,0.0295392
QuantumArithmetic.JHHA2016.Add_Mod2N,861,3565,2736170,5166,0.0392616
QuantumArithmetic.JHHA2016.Add_Mod2N,1024,4228,3214856,6144,0.0466944
QuantumArithmetic.JHHA2016.Add_Mod2N,1218,5015,3872830,7308,0.0555408
QuantumArithmetic.JHHA2016.Add_Mod2N,1448,5948,4546456,8688,0.0660288
QuantumArithmetic.JHHA2016.Add_Mod2N,1722,7058,5365876,10332,0.0785232
QuantumArithmetic.JHHA2016.Add_Mod2N,2048,8377,6318194,12288,0.0933888
QuantumArithmetic.JHHA2016.Add_Mod2N,2435,9941,7447402,14610,0.111036
QuantumArithmetic.JHHA2016.Add_Mod2N,2896,11803,10680246,17376,0.1459584
QuantumArithmetic.JHHA2016.Add_Mod2N,3444,14014,12630348,20664,0.1735776
