op,n,Logical qubits,Physical qubits,Logical depth,"Runtime, seconds"
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",45,1341,1560762,1110543,9.3285612
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",54,1599,2224862,1585765,14.589038
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",64,2148,2839024,2691633,24.7630236
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",76,2850,3581740,4462723,41.0570516
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",91,4140,5708120,8321133,83.21133
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",108,5338,7205620,13073197,130.73197
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",128,7347,9750190,22193781,221.93781
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",152,9935,15018350,36714249,396.5138892
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",181,14000,20945120,63600447,686.8848276
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",215,19205,32802610,106047079,1230.1461164
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",256,26960,45879840,181206333,2101.9934628
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",304,36872,62551824,299079909,3469.3269444
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",362,51140,98790880,501322177,6216.3949948
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",431,72956,140821192,863918215,10712.585866
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",512,100995,194993670,1435568119,17801.0446756
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,1)",3,102,248700,3260,0.01956
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,1)",4,143,370350,8022,0.048132
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,1)",5,193,399554,16020,0.108936
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,1)",6,251,469078,28094,0.1910392
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,1)",7,317,507226,45084,0.3065712
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,1)",8,391,570302,67830,0.515508
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,1)",10,563,694486,133950,1.01802
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,1)",11,661,783242,179004,1.3604304
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,1)",13,881,1065042,297300,2.49732
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,1)",16,1271,1409022,557814,4.6856376
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,1)",19,1733,1870506,938172,7.8806448
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,1)",23,2461,3136858,1670940,15.372648
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,1)",27,3317,4075826,2710844,24.9397648
